,category,Day,n_tokens_title,n_tokens_content,num_hrefs,num_imgs,avg_positive_polarity,avg_negative_polarity,global_subjectivity
0,Entertainment,Monday,12.0,219.0,4.0,1.0,0.378636363636,-0.35,0.521617145481
1,business,Monday,9.0,255.0,3.0,1.0,0.286914600551,-0.11875,0.341245791246
2,business,Monday,9.0,211.0,3.0,1.0,0.495833333333,-0.466666666667,0.702222222222
3,Entertainment,Monday,9.0,531.0,9.0,1.0,0.385965171192,-0.369696969697,0.42984968735
4,tech,Monday,13.0,1072.0,19.0,20.0,0.411127435065,-0.220192307692,0.513502122877
5,tech,Monday,10.0,370.0,2.0,0.0,0.350609996065,-0.195,0.437408648699
6,lifestyle,Monday,8.0,960.0,21.0,20.0,0.402038567493,-0.224479166667,0.514480300844
7,tech,Monday,12.0,989.0,20.0,20.0,0.427720492359,-0.242777777778,0.543474234099
8,tech,Monday,11.0,97.0,2.0,0.0,0.566666666667,-0.125,0.538888888889
9,World,Monday,10.0,231.0,4.0,1.0,0.298412698413,-0.238095238095,0.313888888889
10,World,Monday,9.0,1248.0,11.0,1.0,0.404480068543,-0.415064102564,0.482059813124
11,lifestyle,Monday,10.0,187.0,7.0,1.0,0.435,-0.2625,0.477164502165
12,lifestyle,Monday,9.0,274.0,18.0,11.0,0.375510204082,-0.310416666667,0.534950029394
13,lifestyle,Monday,9.0,285.0,4.0,0.0,0.4575,-0.337888888889,0.509743589744
14,lifestyle,Monday,8.0,259.0,19.0,9.0,0.249090909091,-0.13869047619,0.295175127902
15,World,Monday,12.0,682.0,10.0,1.0,0.343070409982,-0.220149911817,0.473285048285
16,lifestyle,Monday,8.0,1118.0,26.0,12.0,0.504528985507,-0.401436781609,0.57962962963
17,business,Monday,8.0,397.0,11.0,1.0,0.381847319347,-0.144642857143,0.374313754427
18,lifestyle,Monday,11.0,103.0,3.0,1.0,0.277777777778,-0.125,0.423611111111
19,tech,Monday,8.0,1207.0,24.0,42.0,0.426568491033,-0.226785714286,0.539251643418
20,tech,Monday,13.0,1248.0,21.0,20.0,0.408244716068,-0.206547619048,0.506535131535
21,World,Monday,9.0,391.0,9.0,1.0,0.15,-0.108333333333,0.284210526316
22,tech,Monday,11.0,1154.0,20.0,20.0,0.416342998087,-0.230263157895,0.53365762214
23,World,Monday,11.0,125.0,1.0,1.0,0.281060606061,0.0,0.396401515152
24,business,Monday,13.0,244.0,3.0,1.0,0.292424242424,-0.456481481481,0.331639928699
25,tech,Monday,8.0,266.0,5.0,1.0,0.295238095238,-0.116666666667,0.313095238095
26,tech,Monday,8.0,331.0,5.0,1.0,0.556558441558,-0.263888888889,0.560695732839
27,tech,Monday,12.0,1225.0,22.0,28.0,0.417415200833,-0.202291666667,0.480777660778
