,timedelta,n_tokens_title,n_tokens_content,n_unique_tokens,n_non_stop_words,n_non_stop_unique_tokens,num_hrefs,num_self_hrefs,num_imgs,num_videos,average_token_length,num_keywords,kw_min_min,kw_max_min,kw_avg_min,kw_min_max,kw_max_max,kw_avg_max,kw_min_avg,kw_max_avg,kw_avg_avg,self_reference_min_shares,self_reference_max_shares,self_reference_avg_sharess,LDA_00,LDA_01,LDA_02,LDA_03,LDA_04,global_subjectivity,global_sentiment_polarity,global_rate_positive_words,global_rate_negative_words,rate_positive_words,rate_negative_words,avg_positive_polarity,min_positive_polarity,max_positive_polarity,avg_negative_polarity,min_negative_polarity,max_negative_polarity,title_subjectivity,title_sentiment_polarity,abs_title_subjectivity,abs_title_sentiment_polarity,shares
9402,553.0,8.0,166.0,0.644171775189,0.999999989899,0.838383829915,5.0,1.0,0.0,0.0,4.99397590361,7.0,4.0,751.0,266.2,0.0,843300.0,141071.428571,0.0,3289.64415086,1851.62823393,1800.0,1800.0,1800.0,0.028602151505,0.0286078417017,0.500801352806,0.0286202869945,0.413368366992,0.545454545455,0.16696969697,0.0361445783133,0.0,1.0,0.0,0.278282828283,0.1,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2600
9405,553.0,7.0,245.0,0.616666664097,0.99999999359,0.762820507931,8.0,5.0,1.0,0.0,4.76734693878,8.0,4.0,500.0,175.285714286,0.0,843300.0,209337.5,0.0,3451.12820513,2261.34208083,1200.0,3000.0,1800.0,0.152863938331,0.314645584327,0.0250107613596,0.0250037445705,0.482475971411,0.482492997199,0.0707983193277,0.0326530612245,0.0122448979592,0.727272727273,0.272727272727,0.278571428571,0.1,0.5,-0.341666666667,-0.5,-0.125,0.0,0.0,0.5,0.0,1000
9418,553.0,11.0,195.0,0.63783783439,0.999999991736,0.785123960454,6.0,4.0,1.0,0.0,4.25641025641,10.0,4.0,1400.0,361.875,0.0,843300.0,195390.0,0.0,6965.26027397,3576.76596312,3400.0,3400.0,3400.0,0.233122948981,0.0201535056681,0.0200475831079,0.706661190319,0.0200147719241,0.611764705882,0.263903743316,0.0564102564103,0.0,1.0,0.0,0.407851239669,0.136363636364,1.0,0.0,0.0,0.0,0.625,0.175,0.125,0.175,774
9419,553.0,12.0,245.0,0.632911389735,0.999999993464,0.771241825025,8.0,5.0,0.0,0.0,4.97142857143,7.0,4.0,1100.0,401.857142857,2100.0,843300.0,179514.285714,1600.0,5070.81818182,2803.34040101,1100.0,2800.0,2100.0,0.0285732951954,0.0289156395097,0.171148575497,0.0285833290066,0.742779160791,0.331564088086,0.0963532843968,0.0448979591837,0.0163265306122,0.733333333333,0.266666666667,0.259149940968,0.0333333333333,0.6,-0.108630952381,-0.166666666667,-0.0714285714286,0.6,0.2,0.1,0.2,1600
9421,553.0,8.0,178.0,0.656050951235,0.999999989899,0.797979789919,7.0,5.0,1.0,0.0,4.10112359551,4.0,4.0,294.0,170.333333333,0.0,843300.0,239975.0,0.0,3803.16359164,2665.04241182,358.0,3000.0,1886.0,0.0534052472422,0.0504804269588,0.423233012254,0.422878864893,0.0500024486515,0.351631701632,0.0745920745921,0.0280898876404,0.0224719101124,0.555555555556,0.444444444444,0.270606060606,0.0333333333333,0.5,-0.0958333333333,-0.133333333333,-0.05,0.0,0.0,0.5,0.0,1400
9424,553.0,7.0,1370.0,0.459319526287,0.999999998761,0.670384137955,7.0,0.0,1.0,0.0,5.1204379562,5.0,4.0,731.0,250.25,0.0,843300.0,324020.0,0.0,3289.64415086,2220.76964267,0.0,0.0,0.0,0.442693041913,0.0400099245898,0.240511422421,0.236769814474,0.0400157966019,0.448724386724,0.147105652801,0.0510948905109,0.0189781021898,0.729166666667,0.270833333333,0.347225726654,0.0333333333333,1.0,-0.241956654457,-0.7,-0.05,0.0,0.0,0.5,0.0,863
9425,553.0,9.0,244.0,0.547325100628,0.999999992754,0.731884052668,7.0,6.0,1.0,0.0,4.59836065574,10.0,4.0,890.0,326.444444444,0.0,843300.0,121420.0,0.0,4701.9218241,2992.07989122,1500.0,3300.0,2400.0,0.498437808238,0.0200158997724,0.0202386551948,0.441132085824,0.0201755509702,0.340476190476,0.197619047619,0.0245901639344,0.00409836065574,0.857142857143,0.142857142857,0.477777777778,0.0333333333333,1.0,-0.1,-0.1,-0.1,0.0,0.0,0.5,0.0,1200
9431,553.0,11.0,782.0,0.435173298543,0.999999997826,0.593478259579,9.0,8.0,1.0,0.0,4.46547314578,10.0,4.0,460.0,189.555555556,0.0,843300.0,136860.0,0.0,3289.64415086,2392.92455778,1600.0,5200.0,3400.0,0.221657325234,0.0201113836547,0.0201561098972,0.0205352988315,0.717539882383,0.476459686147,0.17069534632,0.0626598465473,0.0127877237852,0.830508474576,0.169491525424,0.342461789911,0.05,1.0,-0.2425,-0.5,-0.05,0.427272727273,0.168181818182,0.0727272727273,0.168181818182,1800
9432,553.0,9.0,415.0,0.557739556369,0.999999995633,0.790393009649,9.0,4.0,1.0,0.0,4.6843373494,8.0,4.0,761.0,307.5,0.0,843300.0,135295.125,0.0,3897.13899614,2096.36084616,2200.0,2200.0,2200.0,0.291121110729,0.0250198576404,0.25061372675,0.025095655818,0.408149649062,0.41091954023,0.185632183908,0.0409638554217,0.0144578313253,0.739130434783,0.260869565217,0.378431372549,0.1,0.7,-0.158333333333,-0.3,-0.05,0.0,0.0,0.5,0.0,935
9435,552.0,10.0,251.0,0.624489793369,0.999999992754,0.797101443499,3.0,2.0,0.0,1.0,4.52589641434,6.0,4.0,286.0,108.0,0.0,843300.0,170416.666667,0.0,4211.25423729,2701.45777413,0.0,0.0,0.0,0.0333356612712,0.0333411052308,0.0333838679824,0.199356326768,0.700583038748,0.516369047619,-0.102232142857,0.0318725099602,0.0358565737052,0.470588235294,0.529411764706,0.272619047619,0.1,0.6,-0.366666666667,-0.6,-0.1,0.0,0.0,0.5,0.0,2600
9437,552.0,11.0,169.0,0.630952377197,0.999999990099,0.742574250074,3.0,2.0,0.0,0.0,4.76331360947,7.0,4.0,792.0,259.571428571,4500.0,843300.0,185357.142857,1590.75,3292.38713785,2479.4589332,5000.0,5000.0,5000.0,0.0286056112319,0.028572170855,0.0286497246941,0.0285715605519,0.885600932667,0.475803144224,0.254796081112,0.0769230769231,0.0236686390533,0.764705882353,0.235294117647,0.448951048951,0.1,1.0,-0.24880952381,-0.4,-0.166666666667,0.0,0.0,0.5,0.0,1100
9443,552.0,11.0,784.0,0.4478764473,0.999999997763,0.637583891191,8.0,0.0,1.0,0.0,4.97448979592,6.0,4.0,399.0,142.75,0.0,843300.0,177583.333333,0.0,3942.36852207,2114.87917603,0.0,0.0,0.0,0.0333367140346,0.0333374710807,0.20135011899,0.365507249828,0.366468446067,0.496315590975,0.118300701823,0.0446428571429,0.0191326530612,0.7,0.3,0.34615275201,0.0333333333333,1.0,-0.249166666667,-0.6,-0.025,0.497272727273,0.148181818182,0.00272727272727,0.148181818182,664
9451,552.0,9.0,651.0,0.482003129136,0.999999997275,0.659400543162,7.0,4.0,1.0,0.0,4.29032258065,9.0,4.0,1100.0,296.875,0.0,843300.0,131577.777778,0.0,7387.5,3407.27423166,628.0,628.0,628.0,0.0248999893326,0.022228911057,0.0224151265969,0.352368193981,0.578087779032,0.503932072829,0.126521358543,0.0506912442396,0.026113671275,0.66,0.34,0.399112554113,0.1,1.0,-0.258368347339,-0.6,-0.0714285714286,0.0,0.0,0.5,0.0,1200
9453,552.0,12.0,413.0,0.556390976049,0.999999996241,0.680451125261,15.0,7.0,1.0,1.0,4.7215496368,7.0,4.0,1300.0,307.714285714,2300.0,843300.0,166528.571429,1800.0,3802.16625917,2957.31844364,1400.0,4500.0,2300.0,0.196574021931,0.325471654654,0.0287663388845,0.420615653423,0.0285723311072,0.300737373737,0.0935656565657,0.0242130750605,0.00968523002421,0.714285714286,0.285714285714,0.24696969697,0.0333333333333,0.5,-0.195138888889,-0.25,-0.155555555556,1.0,0.0,0.5,0.0,2900
9459,552.0,9.0,598.0,0.43367346865,0.999999997167,0.583569403446,11.0,4.0,1.0,0.0,4.70234113712,8.0,4.0,742.0,262.25,0.0,843300.0,117200.0,0.0,3802.16625917,1453.87448305,2100.0,3200.0,2650.0,0.296961886832,0.0250381998851,0.627881259769,0.0251120462467,0.0250066072681,0.472626984127,0.139076479076,0.0518394648829,0.0183946488294,0.738095238095,0.261904761905,0.327035330261,0.0333333333333,0.75,-0.176262626263,-0.4,-0.1,0.0,0.0,0.5,0.0,3600
9475,551.0,9.0,597.0,0.509369675453,0.999999997183,0.687323941726,11.0,6.0,8.0,0.0,4.50586264657,7.0,4.0,851.0,222.714285714,5900.0,843300.0,210757.142857,2042.36619718,3303.57523246,2760.82147794,503.0,7800.0,3500.6,0.0285990114183,0.028572220547,0.0285755289501,0.028571585939,0.885681653146,0.545983877234,0.219206487956,0.0569514237856,0.0117252931323,0.829268292683,0.170731707317,0.410093582888,0.1,1.0,-0.363492063492,-0.4,-0.155555555556,0.0,0.0,0.5,0.0,2100
9481,551.0,6.0,478.0,0.556962024141,0.999999996516,0.714285711797,8.0,0.0,1.0,0.0,5.03556485356,4.0,4.0,586.0,307.75,3000.0,843300.0,241075.0,1781.0,3803.47674419,3168.19558183,0.0,0.0,0.0,0.512327309694,0.0500107173877,0.337446673863,0.0502141718878,0.0500011271674,0.45907977208,0.0498518518519,0.0460251046025,0.0230125523013,0.666666666667,0.333333333333,0.252348484848,0.0333333333333,0.6,-0.287878787879,-0.8,-0.05,0.0,0.0,0.5,0.0,1400
9508,550.0,8.0,205.0,0.615763543765,0.999999990909,0.863636355785,5.0,3.0,0.0,0.0,4.68780487805,9.0,4.0,980.0,332.75,0.0,843300.0,120600.0,0.0,6242.2,3101.84957215,1400.0,1400.0,1400.0,0.0222267030518,0.0222292476217,0.115963560333,0.022225570668,0.817354918326,0.522857142857,0.0532738095238,0.0341463414634,0.0390243902439,0.466666666667,0.533333333333,0.392857142857,0.1,1.0,-0.21056547619,-0.4,-0.1,0.125,0.0,0.375,0.0,2800
