,category,Day,n_tokens_title,n_tokens_content,num_hrefs,num_imgs,avg_positive_polarity,avg_negative_polarity,global_subjectivity,shares_cat
0,Entertainment,Monday,12.0,219.0,4.0,1.0,0.378636363636,-0.35,0.521617145481,Unpopular
1,business,Monday,9.0,255.0,3.0,1.0,0.286914600551,-0.11875,0.341245791246,Unpopular
2,business,Monday,9.0,211.0,3.0,1.0,0.495833333333,-0.466666666667,0.702222222222,Popular
3,Entertainment,Monday,9.0,531.0,9.0,1.0,0.385965171192,-0.369696969697,0.42984968735,Unpopular
4,tech,Monday,13.0,1072.0,19.0,20.0,0.411127435065,-0.220192307692,0.513502122877,Unpopular
5,tech,Monday,10.0,370.0,2.0,0.0,0.350609996065,-0.195,0.437408648699,Unpopular
6,lifestyle,Monday,8.0,960.0,21.0,20.0,0.402038567493,-0.224479166667,0.514480300844,Unpopular
7,tech,Monday,12.0,989.0,20.0,20.0,0.427720492359,-0.242777777778,0.543474234099,Unpopular
8,tech,Monday,11.0,97.0,2.0,0.0,0.566666666667,-0.125,0.538888888889,Popular
9,World,Monday,10.0,231.0,4.0,1.0,0.298412698413,-0.238095238095,0.313888888889,Unpopular
10,World,Monday,9.0,1248.0,11.0,1.0,0.404480068543,-0.415064102564,0.482059813124,Popular
11,lifestyle,Monday,10.0,187.0,7.0,1.0,0.435,-0.2625,0.477164502165,Popular
12,lifestyle,Monday,9.0,274.0,18.0,11.0,0.375510204082,-0.310416666667,0.534950029394,Unpopular
13,lifestyle,Monday,9.0,285.0,4.0,0.0,0.4575,-0.337888888889,0.509743589744,Popular
14,lifestyle,Monday,8.0,259.0,19.0,9.0,0.249090909091,-0.13869047619,0.295175127902,Unpopular
15,World,Monday,12.0,682.0,10.0,1.0,0.343070409982,-0.220149911817,0.473285048285,Popular
16,lifestyle,Monday,8.0,1118.0,26.0,12.0,0.504528985507,-0.401436781609,0.57962962963,Popular
17,business,Monday,8.0,397.0,11.0,1.0,0.381847319347,-0.144642857143,0.374313754427,Popular
18,lifestyle,Monday,11.0,103.0,3.0,1.0,0.277777777778,-0.125,0.423611111111,Popular
19,tech,Monday,8.0,1207.0,24.0,42.0,0.426568491033,-0.226785714286,0.539251643418,Popular
20,tech,Monday,13.0,1248.0,21.0,20.0,0.408244716068,-0.206547619048,0.506535131535,Popular
21,World,Monday,9.0,391.0,9.0,1.0,0.15,-0.108333333333,0.284210526316,Unpopular
22,tech,Monday,11.0,1154.0,20.0,20.0,0.416342998087,-0.230263157895,0.53365762214,Unpopular
23,World,Monday,11.0,125.0,1.0,1.0,0.281060606061,0.0,0.396401515152,Popular
24,business,Monday,13.0,244.0,3.0,1.0,0.292424242424,-0.456481481481,0.331639928699,Unpopular
25,tech,Monday,8.0,266.0,5.0,1.0,0.295238095238,-0.116666666667,0.313095238095,Unpopular
26,tech,Monday,8.0,331.0,5.0,1.0,0.556558441558,-0.263888888889,0.560695732839,Popular
27,tech,Monday,12.0,1225.0,22.0,28.0,0.417415200833,-0.202291666667,0.480777660778,Popular
28,lifestyle,Monday,10.0,243.0,1.0,0.0,0.333297258297,-0.1775,0.517984307359,Unpopular
29,business,Monday,11.0,723.0,18.0,1.0,0.340572181442,-0.213888888889,0.375048678466,Unpopular
30,business,Monday,8.0,708.0,8.0,1.0,0.291941391941,-0.244444444444,0.491427884285,Popular
31,tech,Monday,10.0,633.0,2.0,19.0,0.298032849503,-0.341666666667,0.531972336606,Popular
32,tech,Monday,14.0,290.0,0.0,14.0,0.438908128908,-0.177777777778,0.571906729634,Unpopular
33,lifestyle,Monday,10.0,597.0,5.0,1.0,0.419438894439,-0.229166666667,0.467187049062,Unpopular
34,lifestyle,Monday,8.0,204.0,7.0,1.0,0.422181818182,-0.4,0.651940457204,Popular
35,lifestyle,Monday,11.0,315.0,4.0,1.0,0.400550964187,-0.320138888889,0.553519570707,Unpopular
36,tech,Monday,10.0,1244.0,27.0,20.0,0.421472119151,-0.230263157895,0.511652567616,Popular
37,socmed,Monday,8.0,257.0,9.0,0.0,0.360416666667,-0.392857142857,0.4,Popular
38,World,Monday,11.0,799.0,8.0,1.0,0.394523809524,-0.2328125,0.420033670034,Unpopular
39,Entertainment,Monday,14.0,194.0,4.0,0.0,0.545454545455,0.0,0.395588235294,Popular
40,tech,Monday,10.0,1036.0,21.0,20.0,0.41857984608,-0.214880952381,0.524163336663,Unpopular
41,tech,Monday,6.0,174.0,0.0,1.0,0.412121212121,0.0,0.588636363636,Unpopular
42,tech,Monday,14.0,1237.0,24.0,42.0,0.403363745959,-0.214880952381,0.507184717798,Popular
43,tech,Monday,10.0,1081.0,19.0,20.0,0.423737908182,-0.269736842105,0.536793473822,Unpopular
44,tech,Monday,9.0,1022.0,20.0,20.0,0.419440517289,-0.222916666667,0.510508122241,Popular
45,business,Monday,10.0,142.0,2.0,1.0,0.366666666667,-0.3,0.442857142857,Unpopular
46,lifestyle,Monday,10.0,1190.0,25.0,20.0,0.403010936432,-0.236111111111,0.506584209441,Unpopular
47,Entertainment,Monday,12.0,161.0,5.0,0.0,0.427462121212,-0.363888888889,0.57238292011,Unpopular
48,tech,Monday,11.0,1108.0,21.0,20.0,0.39068524971,-0.205740740741,0.499397646187,Unpopular
49,tech,Monday,11.0,1089.0,20.0,20.0,0.404108170311,-0.231547619048,0.49594468032,Unpopular
50,tech,Monday,11.0,214.0,2.0,0.0,0.258333333333,-0.4,0.423076923077,Popular
51,tech,Monday,9.0,944.0,21.0,20.0,0.413517593518,-0.204901960784,0.520903679654,Unpopular
52,tech,Monday,9.0,1030.0,21.0,20.0,0.42623760206,-0.231547619048,0.505898268398,Unpopular
53,Entertainment,Monday,11.0,454.0,5.0,1.0,0.362954545455,-0.215476190476,0.467353219697,Popular
54,tech,Monday,9.0,1115.0,21.0,20.0,0.417055465368,-0.212354497354,0.506520305092,Popular
55,tech,Monday,10.0,555.0,7.0,1.0,0.337964876033,-0.225793650794,0.425089367703,Popular
56,lifestyle,Monday,9.0,474.0,11.0,1.0,0.357269119769,-0.338888888889,0.542579860227,Unpopular
57,tech,Monday,8.0,130.0,7.0,0.0,0.353939393939,-0.4,0.381986531987,Unpopular
58,business,Monday,12.0,444.0,9.0,23.0,0.312897609637,0.0,0.462137609865,Unpopular
59,tech,Monday,9.0,280.0,5.0,10.0,0.257251082251,-0.290476190476,0.490943267259,Unpopular
60,tech,Monday,13.0,1024.0,19.0,19.0,0.410137858174,-0.219444444444,0.535241457572,Unpopular
61,tech,Monday,12.0,238.0,3.0,1.0,0.291258741259,0.0,0.455703463203,Unpopular
62,tech,Monday,9.0,1070.0,22.0,20.0,0.412062957619,-0.215384615385,0.513514364423,Unpopular
63,tech,Monday,12.0,463.0,1.0,4.0,0.222137632482,-0.189409722222,0.402304292929,Unpopular
64,tech,Monday,11.0,1005.0,21.0,20.0,0.408075301891,-0.215,0.509792163619,Unpopular
65,tech,Monday,8.0,403.0,3.0,1.0,0.280465367965,-0.172395833333,0.518465543466,Popular
66,tech,Monday,7.0,251.0,1.0,1.0,0.178917748918,-0.150925925926,0.462730755834,Unpopular
67,World,Monday,11.0,317.0,7.0,1.0,0.316468253968,-0.188888888889,0.374735449735,Popular
68,Entertainment,Monday,12.0,177.0,4.0,1.0,0.416919191919,-0.166666666667,0.574358974359,Unpopular
69,business,Monday,6.0,109.0,3.0,1.0,0.322272727273,-0.1,0.593006993007,Unpopular
70,World,Monday,11.0,399.0,8.0,1.0,0.35841609371,-0.310185185185,0.564637445887,Unpopular
71,tech,Monday,13.0,460.0,4.0,1.0,0.373083778966,-0.260416666667,0.514475108225,Popular
72,World,Monday,9.0,443.0,3.0,1.0,0.335294117647,-0.28,0.419907407407,Unpopular
73,socmed,Monday,8.0,218.0,14.0,11.0,0.536111111111,-0.2375,0.521929824561,Unpopular
